abbreviation,title
ZfP,Zeitschrift für Politik
ZfPR,Zeitschrift für Personalvertretungsrecht
ZfRV,"Zeitschrift für Europarecht, internationales Privatrecht und Rechtsvergleichung"
"ZfS, nan",Zeitschrift für Soziologie
"zfs, ZfSch",Zeitschrift für Schadensrecht
ZfSH/SGB,ZfSH/SGB Sozialrecht in Deutschland und Europa
ZfU,Zeitschrift für Umweltpolitik & Umweltrecht
ZfV,Zeitschrift für Versicherungswesen
ZfV,Zeitschrift für Verwaltung
ZFW,Zeitschrift für Wasserrecht
ZfWG,Zeitschrift für Wett- und Glücksspielrecht
ZfZ,Zeitschrift für Zölle und Verbrauchssteuern
ZG,Zeitschrift für Gesetzgebung
ZGE,Zeitschrift für geistiges Eigentum
ZGR,Zeitschrift für Unternehmens- u.Gesellschaftsrecht
ZGS,Zeitschrift für das gesamte Schuldrecht
ZHR,Zeitschrift für das gesamte Handels- und Wirtschaftsrecht
ZIAS,Zeitschrift für ausländisches und internationales Arbeits- und Sozialrecht
ZInsO,Zeitschrift für das gesamte Insolvenzrecht
ZIP,Zeitschrift für Wirtschaftsrecht
ZIS,Zeitschrift für Internationale Strafrechtsdogmatik
ZJJ,Zeitschrift für Jugendkriminalrecht und Jugendhilfe
ZJS,Zeitschrift für das juristische Studium
ZKF,Zeitschrift für Kommunalfinanzen
ZKJ,Zeitschrift für Kindschaftsrecht und Jugendhilfe
ZKM,Zeitschrift für Konfliktmanagement
ZLR,Zeitschrift für das gesamte Lebensmittelrecht
ZLW,Zeitschrift für Luft- und Weltraumrecht
ZMGR,Zeitschrift für das gesamte Medizin- und Gesundheitsrecht
ZMR,Zeitschrift für Miet- und Raumrecht
ZMV,Die Mitarbeitervertretung
ZNER,Zeitschrift für Neues Energierecht
ZNotP,Zeitschrift für die Notarpraxis
ZNR,Zeitschrift für neuere Rechtsgeschichte
ZögU,Zeitschrift für öffentliche und gemeinwirtschaftliche Unternehmen
ZöR,Zeitschrift für öffentliches Recht
ZOV,Zeitschrift für offene Vermögensfragen
ZParl,Zeitschrift für Parlamentsfragen
ZPol,Zeitschrift für Politikwissenschaft
ZRG,Zeitschrift der Savigny-Stiftung …German.Abt.
ZRG,Zeitschrift der Savigny-Stiftung …Kanon.Abt.
ZRG,Zeitschrift der Savigny-Stiftung …Roman.Abt.
ZRP,Zeitschrift für Rechtspolitik
ZRph,Zeitschrift für Rechtsphilosophie
"Zs. f. Rechtssoz., ZfRSoz",Zeitschrift für Rechtssoziologie
ZSE,Zeitschrift für Staats- und Europawissenschaften
"ZSR, ZSchR",Zeitschrift für schweizerisches Recht
ZSR,Zeitschrift für Sozialreform
ZSteu,Zeitschrift für Steuern & Recht
ZStrR,Schweizerische Zeitschrift für Strafrecht
"ZStrW, ZStW, Zeitschr fd ges Strafrechtsw",Zeitschrift für die gesamte Strafrechtswissenschaft
ZStV,Zeitschrift für Stiftungs- und Vereinswesen
ZTR,"Zeitschrift für Tarif-, Arbeits- und Sozialrecht"
ZUM,Zeitschrift für Urheber- und Medienrecht
ZUR,Zeitschrift für Umweltrecht
Zur Debatte,Zur Debatte : Themen der Katholischen Akademie in Bayern
ZUV,Zeitschrift der unabhängigen Verwaltungssenate
ZVertriebsR,Zeitschrift für Vertriebsrecht
ZVG,Zeitschrift der Verwaltungsgerichtsbarkeit
ZVglRWiss,Zeitschrift für vergleichende Rechtswissenschaft
ZVI,Zeitschrift für Verbraucher- und Privat-Insolvenzrecht
ZVR,Zeitschrift für Verkehrsrecht
ZWE,Zeitschrift für Wohnungseigentumsrecht
ZWeR,Zeitschrift für Wettbewerbsrecht
ZWH,Zeitschrift für Wirtschaftsstrafrecht und Haftung im Unternehmen
ZZP,Zeitschrift für Zivilprozeß
ZZPInt,Zeitschrift für Zivilprozess International
AcP,Archiv für civilistische Praxis
AP,Arbeitsrechtliche Praxis
AR,Der Aufsichtsrat
ArbRB,Der Arbeitsrechtsberater
BB,Betriebsberater
BC,"Zeitschrift für Bilanzierung, Rechnungswesen und Controlling"
Becklink,Becklink
BFHE,Entscheidungen des Bundesfinanzhofs
BKK,NWB Rechnungswesen
BRuR,Betriebsrat und Recht
BVerfGE,Entscheidungen des Bundesverfassungsgerichts
CB,Compliance Berater
COVuR,COVID-19 und Recht
CuA,Computer und Arbeit
DANA,Datenschutz Nachrichten
DivRuW,Diversity in Recht & Wirtschaft
DJZ,Deutsche Juristen-Zeitung
DSRITB,DSRI Tagungsband Herbstakademie
E-Justice,E-Justice
EDPL,European Data Protection Law Review
ERCL,European Review of Contract Law
FMP,Forderungsmanagement professionell
FR,Finanz-Rundschau
Freilaw,Freilaw
GPR,Zeitschrift für das Privatrecht der Europäischen Union
GRUR Int.,GRUR Internationaler Teil
GRUR-Prax,GRUR Praxis
GRUR-RR,GRUR-Rechtsprechungs-Report
