"journal_title","item_cnt"
Medico-Legal Journal,1
Medieval Encounters,1
MedR. Schriftenreihe Medizinrecht,2
Melbourne journal of international law,1
Melbourne University law review,1
"Meritum, Revista de Direito da Universidade FUMEC",1
M. & H. Marcus eBooks,2
Michigan Law Review,2
Millennium Journal of International Studies,2
Mind,1
Mind & Society,1
Mitteilungen des Instituts für Österreichische Geschichtsforschung,1
MLN,1
M. Nijhoff eBooks,1
Modern Language Journal,1
Modern Law Review,4
Mohr eBooks,2
Mohr Siebeck eBooks,77
Monash University law review,1
Morcelliana eBooks,1
Müller eBooks,2
Müller Juristischer Verlag eBooks,1
National Bureau of Economic Research,1
National Tax Journal,1
Nature,1
Nature Climate Change,1
Naval Engineers Journal,1
Nederlandsch juristenblad/Nederlands juristenblad,1
Netherlands International Law Review,2
Netherlands Quarterly of Human Rights,3
Netherlands yearbook of international law,2
Neurocritical Care,1
New England Journal of Medicine,1
New Journal of European Criminal Law,1
New Media & Society,2
New Political Economy,1
New Scholasticism,1
New York University Press eBooks,1
Nomos eBooks,21
Nomos Verlagsgesellschaft eBooks,5
Nomos Verlagsgesellschaft mbH & Co. KG eBooks,27
Nomos-Verl.-Ges. eBooks,2
Nordic Journal of Human Rights,1
Nordic Journal of International Law,1
North Carolina law review,1
Northwestern University journal of international human rights,1
Notes,1
Nouvelle revue théologique,1
NTM Zeitschrift für Geschichte der Wissenschaften Technik und Medizin,1
Nursery World,1
N. Zanichelli eBooks,1
Ocean Development & International Law,1
OECD economic surveys. Euro Area,1
OECD Publishing eBooks,1
Oecologia,1
Oldenbourg eBooks,2
Oldenbourg Grundriss der Geschichte,1
Oldenbourg Verlag eBooks,1
Oldenbourg Wissenschaftsverlag eBooks,3
Ondernemingsrecht,1
Online Information Review,1
Organizational Behavior and Human Decision Processes,3
Osgoode Hall law journal,1
Oxford Journal of Legal Studies,2
Oxford Review of Economic Policy,1
Oxford University Press eBooks,72
Paix et Securite Internationales,1
Palgrave Macmillan eBooks,1
Palgrave Macmillan UK eBooks,12
Palgrave Macmillan US eBooks,2
Papers on Strategic Interaction,1
Party Politics,1
Passagen Verlag eBooks,1
Pastoraltheologie,1
PERIPHERIE – Politik • Ökonomie • Kultur,1
Personality and Individual Differences,1
Personality and Social Psychology Review,1
Perspectives on European Politics and Society,1
Perspectives on Federalism,1
Perspektiven der Wirtschaftspolitik,1
Peter Lang eBooks,1
Philosophical Books,1
Philosophical Studies,1
Philosophical Transactions of the Royal Society B Biological Sciences,1
Philosophy &amp Public Affairs,1
Philosophy & Social Criticism,1
Place Branding and Public Diplomacy,1
P. Lang eBooks,2
PLoS Medicine,1
PLoS ONE,1
Poetics,1
Policing An International Journal,1
Policy & Internet,2
Policy & Politics,1
Policy Press eBooks,1
Political Communication,1
Political Science Quarterly,2
Political Studies,1
Politics & Society,2
Politische Vierteljahresschrift,1
Politische Vierteljahresschrift. Sonderheft,1
Population and Development Review,1
Prague Economic Papers,1
Presses universitaires du Septentrion eBooks,1
Princeton University Press eBooks,9
Problems of Post-Communism,1
Proceedings - Economic Policy Symposium - Jackson Hole,1
Proceedings of the Aristotelian Society,1
Proceedings of the ASIL Annual Meeting,2
Proceedings of the National Academy of Sciences,1
PROKLA Zeitschrift für kritische Sozialwissenschaft,4
Prometheus,1
ProtoSociology,1
P. Schippers eBooks,1
PsycEXTRA Dataset,4
Psychological Bulletin,1
