"source_id","display_name","works_count","cited_by_count","law_and_de","source_type"
S142063916,Zeitschrift für Deutsches Altertum und Deutsche Literatur,896,760,4,journal
S142409771,Fordham law review,3662,11793,2,journal
S14250838,Indiana Journal of Global Legal Studies,918,9725,1,journal
S142542876,British Journal of Radiology,28773,392186,1,journal
S142610861,European Journal of Law Reform,703,1401,5,journal
S14279387,Hastings law journal,2745,8811,2,journal
S143111890,Journal of Terramechanics,3690,34507,5,journal
S143149996,Nervenheilkunde,3472,3972,3,journal
S143381477,Environment International,13361,593952,1,journal
S143388879,Journal of Intellectual Property Law,396,927,1,journal
S143608141,Internationales Archiv für Sozialgeschichte der deutschen Literatur,1126,1650,8,journal
S143615459,Mauerwerk,2174,1867,3,journal
S14366549,Theology,22335,9508,6,journal
S143701257,Legal Issues of Economic Integration,1032,3544,6,journal
S143778936,Syracuse journal of international law and commerce,282,529,1,journal
S14411630,European Journal of Philosophy,1788,21439,1,journal
S144147463,Observatory,7736,9998,1,journal
S144188811,European Review of Contract Law,657,2556,10,journal
S144298576,Journal for General Philosophy of Science,1626,12261,9,journal
S144402922,Japanese Sociological Review,4274,1433,1,journal
S145628082,Die Verwaltung,30,113,16,journal
S145781505,War in History,2064,3983,1,journal
S146017412,Ancient Philosophy,2035,15099,1,journal
S146294059,Geburtshilfe und Frauenheilkunde,19456,31810,59,journal
S14636018,Revista de Derecho Comunitario Europeo,1330,987,3,journal
S146547870,Administrative Theory & Praxis,1208,11105,1,journal
S14672235,Bauphysik,2824,2756,2,journal
S146822473,Journal of the American Oriental Society,16350,172382,5,journal
S147798434,Medical Laser Application,543,3776,1,journal
S14785723,Vakuum in Forschung und Praxis,3266,2573,3,journal
S147868187,Reproduction in Domestic Animals,7270,88943,1,journal
S147910839,Brigham Young University law review,1790,4598,1,journal
S14824431,Civil engineering,11186,12211,1,journal
S148958534,Zamm-zeitschrift Fur Angewandte Mathematik Und Mechanik,240,620,3,journal
S149240962,Journal of Financial Economics,4584,1261476,1,journal
S149275985,The Journal of Theological Studies,20635,25451,1,journal
S149452110,Studia Linguistica,1164,14123,1,journal
S149602687,Renascence,2404,1460,1,journal
S149941051,Schweizer Archiv für Tierheilkunde,2647,9001,8,journal
S150042853,Japanese Circulation Journal-english Edition,81160,4512,1,journal
S150314616,The Annals of the American Academy of Political and Social Science,32776,185649,16,journal
S150404214,Wiener klinische Wochenschrift,4982,36963,3,journal
S150866770,Monumenta Nipponica,4146,39001,5,journal
S150892397,Aequationes Mathematicae,3821,33681,3,journal
S151394118,Polymer News,411,733,3,journal
S151491554,The Geneva Papers on Risk and Insurance Issues and Practice,1813,20638,1,journal
S15152477,Der Pathologe,3400,14997,14,journal
S151944519,North Carolina law review,3569,6603,2,journal
S152058026,Chemie in unserer Zeit,5135,11243,13,journal
S152402304,Journal of Modern European History,680,2463,1,journal
S152437752,Revue numismatique,2095,3493,1,journal
S152904045,Ornithology,26417,269713,1,journal
S153015745,Gefahrstoffe Reinhaltung der Luft,616,716,19,journal
S153227239,Annals of Nutrition and Metabolism,5366,100623,2,journal
S15336283,Forensic Science International,12999,328051,4,journal
S153772966,Trusts & Trustees,4513,1510,7,journal
S153921829,der markt,423,1777,6,journal
S15409311,Journal of Voice,11190,129520,1,journal
S154574157,intensiv,1894,826,43,journal
S154637859,Signal Processing,12393,296039,2,journal
S154775064,Agricultural Economics,3977,102456,1,journal
S154908413,Herz,3363,28964,2,journal
S154928554,Applied Rheology,1211,10913,3,journal
S155002599,Informatik-Spektrum,2770,8500,156,journal
S155128447,Parasitology Research,11128,243090,1,journal
S155426891,Law & Literature,1069,2015,1,journal
S155615518,Statistical Methods & Applications,996,8542,1,journal
S156235965,International and Comparative Law Quarterly,8232,42795,72,journal
S156280010,American Mathematical Monthly,50327,515554,3,journal
S156661735,Helsinki Monitor,996,1170,1,journal
S156862075,Journal of Occupational and Environmental Medicine,12971,207516,2,journal
S157203879,James Joyce quarterly,1655,1372,2,journal
S1574580,Aschkenas,695,400,4,journal
S157569785,Berichte zur Wissenschaftsgeschichte,2581,4983,1,journal
S157620343,American Sociological Review,13200,1425275,7,journal
S157623930,Bochumer Philosophisches Jahrbuch für Antike und Mittelalter,545,266,3,journal
S157638965,JuristenZeitung,6720,4459,2722,journal
S157655868,Sprachwissenschaft,1532,772,8,journal
S157664895,Annals of Surgery,38406,1685096,2,journal
S15774498,The Slavic and East European Journal,6756,52820,5,journal
S157768969,Grazer Philosophische Studien,2701,11525,15,journal
S157851878,Medium Ævum,6372,8033,1,journal
S157862920,Latomus,620,841,5,journal
S157883410,The Columbia journal of European law,136,904,2,journal
S157946625,Financial Management,2201,101075,1,journal
S158016561,Optimization,4456,39229,1,journal
S158144832,Irish Theological Quarterly,4242,3802,1,journal
S158211696,Synapse,5841,156346,17,journal
S158261290,Foreign Policy,2501,30147,1,journal
S158407131,Gruppenpsychotherapie und Gruppendynamik,775,863,1,journal
S158705510,Journal of Economic Studies,2499,29715,1,journal
S158897336,Nuklearmedizin - NuclearMedicine,4771,17334,4,journal
S158955663,Yale law & policy review,637,3022,1,journal
S158964946,The Ecumenical Review,5129,5173,3,journal
S159005826,Revue Médicale Suisse,19334,1837,1,journal
S15912774,Symbolae Osloenses,1132,4954,5,journal
S159217112,Ethik in der Medizin,1548,4256,22,journal
S159320808,Journal of International Arbitration,1869,5157,2,journal
S159387410,Kantian Review,958,5253,1,journal
S159458168,Forensische Psychiatrie Psychologie Kriminologie,947,4708,28,journal
S159534381,Naunyn-Schmiedeberg s Archives of Pharmacology,23145,381749,39,journal
S159765434,Spiegel der Letteren,901,240,2,journal
S15976965,Revue d’études comparatives Est-Ouest,2473,2631,5,journal
S159798926,Language Typology and Universals,3529,9595,27,journal
S159844132,Oberwolfach Reports,1206,5733,1,journal
S160097506,American Journal of International Law,24692,122243,109,journal
S160113820,Acta Radiologica,18566,133283,6,journal
S160317517,Zoologischer Anzeiger,2213,19898,1,journal
S160343789,The Journal of Ethics,951,12161,1,journal
S16035445,Enterprise & Society,3930,8147,1,journal
S160487448,Hermes-zeitschrift Fur Klassische Philologie,136,320,2,journal
S160512813,Shakespeare,1092,1787,1,journal
S160683337,Focus on Pigments,5634,550,2,journal
S160765276,Imago Mundi,2195,7718,1,journal
S161027966,Political Science Quarterly,17003,328034,43,journal
S161526671,ERA Forum,1066,3538,33,journal
S161743634,Stanford Law Review,3590,81210,2,journal
S161895660,The Yale Law Journal,17269,132212,41,journal
S161954266,Journal of Controlled Release,16380,969578,1,journal
S162040007,Die Bodenkultur Journal of Land Management Food and Environment,461,1048,1,journal
S162341422,European Journal of Archaeology,1867,10317,1,journal
S162357988,Common Law World Review,1127,1798,2,journal
S162384186,Journal of American Folklore,10114,82360,2,journal
S162477223,Parliaments Estates and Representation,1216,1862,1,journal
S162571691,Collection of Czechoslovak Chemical Communications,19429,136853,4,journal
S162713455,Historische Zeitschrift,13498,16380,267,journal
S162735375,European Neurology,11565,142618,17,journal
S162880254,Theoria,2528,18033,1,journal
S16296580,Southern Economic Journal,10891,395880,1,journal
S163255482,Zeitschrift für Assyriologie und Vorderasiatische Archäologie,2693,8339,3,journal
S163273110,Medico-Legal Journal,3683,5426,2,journal
S163308530,Medicine Science and the Law,4411,31312,1,journal
S163633138,Philosophische Rundschau,648,886,29,journal
S163740676,European Archives of Oto-Rhino-Laryngology,18246,208479,25,journal
S163860444,Taxon,14152,250018,1,journal
S16390937,Zeitschrift für Soziologie,1763,30465,19,journal
S164128033,Science News,38977,12972,3,journal
S16413858,Kriminalistik,176,103,19,journal
S164398212,Speculum,27954,48641,11,journal
S164900069,SWS-Rundschau,336,504,14,journal
S16498519,Stomatologie,389,202,6,journal
S16507453,Peritia,1029,5054,1,journal
S165273343,Allgemeine Zeitschrift für Philosophie (AZP),1352,37,148,journal
S165492527,The Economic History Review,14821,233076,7,journal
S165893625,The New York times book review,6338,3696,1,journal
S16595306,Numen,2581,13302,1,journal
S166240737,Journal of Scientific Instruments,9205,34014,1,journal
S166586055,Scripta Theologica,10308,707,2,journal
S166779601,Zeitschrift für Religions- und Geistesgeschichte,3608,3049,34,journal
S167039476,The American Journal of Comparative Law,5591,45958,149,journal
S167057539,Spektrum der Augenheilkunde,2318,1616,21,journal
S167708079,Materialwissenschaft und Werkstofftechnik,9205,29986,4,journal
S16770927,Journal of Current Southeast Asian Affairs,641,4744,2,journal
S168235515,Archives de sciences sociales des religions,16396,9391,8,journal
S168277307,EPISTEMOLOGIA,321,574,1,journal
S168280950,Sprache · Stimme · Gehör,1651,1948,3,journal
S168335146,zeitgeschichte,295,72,1,journal
S168357330,Tetsu-to-Hagane,20310,49184,1,journal
S168508312,Reports of Practical Oncology & Radiotherapy,3249,13185,1,journal
S168828829,Eos,31193,219073,2,journal
S16937057,physioscience,839,1330,1,journal
S169454776,European Food Research and Technology,14029,184804,213,journal
S169727461,American Journal of Legal History,3027,38462,2,journal
S170107327,Endoskopie heute,1644,626,2,journal
S170108492,Regional & Federal Studies,1213,16751,1,journal
S17025761,Historisk Tidsskrift,6571,8006,24,journal
