"author_id","author_name","institution_id","inst_name","num_articles","min_pubyear","max_pubyear","journals"
A5035787599,Robert Frau,I254029264,European University Viadrina,1,2014,2014,{Staat}
A5035797518,Imanuel Geiss,I129877168,Carl von Ossietzky Universität Oldenburg,1,1981,1981,{KJ}
A5035797518,Imanuel Geiss,I149899117,Max Planck Society,1,1981,1981,{KJ}
A5035797518,Imanuel Geiss,I180437899,University of Bremen,1,1981,1981,{KJ}
A5035797518,Imanuel Geiss,I4210123413,Institut für Sozialarbeit und Sozialpädagogik,1,1981,1981,{KJ}
A5035797518,Imanuel Geiss,I4210141311,Staats- und Universitätsbibliothek Bremen,1,1981,1981,{KJ}
A5035822814,Sinan Karabas,I159176309,Universität Hamburg,1,2022,2022,{JURA}
A5035830544,Hans-Ernst Böttcher,I4210128066,Medizinisch Wissenschaftliche Verlagsgesellschaft (Germany),1,1985,1985,{KJ}
A5035864684,Henri Brunner,I4210109586,Moscow Institute of Thermal Technology,1,1897,1897,{ZRG}
A5035871932,Felix C. Freiling,I181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,1,2017,2017,{JR}
A5035876123,Christian Marquart,I149899117,Max Planck Society,1,2012,2012,{JuS}
A5035876123,Christian Marquart,I4210134321,Max Planck Institute for Tax Law and Public Finance,1,2012,2012,{JuS}
A5035885817,Anne van Aaken,I149899117,Max Planck Society,2,2003,2004,"{RabelsZ,JZ}"
A5035885817,Anne van Aaken,I4210141359,Max Planck Institute for Comparative Public Law and International Law,2,2003,2004,"{RabelsZ,JZ}"
A5035885817,Anne van Aaken,I4210154893,Altrecht GGZ,1,2003,2003,{KritV}
A5035912279,Dominik Steiger,I926574661,Leipzig University,1,2018,2018,{JURA}
A5035971491,Parissa Rahimian,I4210089160,Behörde für Schule und Berufsbildung,1,2022,2022,{JURA}
A5035995231,Beáta Bakó,I198945027,Central European University,1,2022,2022,{ZaoRV}
A5035995231,Beáta Bakó,I21250087,Charles University,1,2022,2022,"{ZaoRV,ZaoRV}"
A5035996674,Dennis Seifarth,I76198965,Friedrich Schiller University Jena,1,2009,2009,{JR}
A5036006858,Katharina Döll,I179225836,University of Augsburg,1,2023,2023,{JURA}
A5036030207,Peter Georg Picht,I4210129449,Max Planck Institute for Innovation and Competition,1,2015,2015,{JR}
A5036030207,Peter Georg Picht,I8204097,Ludwig-Maximilians-Universität München,1,2015,2015,{JR}
A5036103357,Jan Phillip Rektorschek,I161103922,Philipps University of Marburg,1,2009,2009,{JR}
A5036113936,Richard Rachlitz,I8204097,Ludwig-Maximilians-Universität München,1,2012,2012,{JURA}
A5036200976,Christoph Bublitz,I159176309,Universität Hamburg,1,2021,2021,{JR}
A5036219220,Michael Bock,I164387090,University of Applied Sciences Mainz,1,2009,2009,{ZStW}
A5036250435,Arnaud Besson,I2800940302,French School at Athens,1,2022,2022,{ZRG}
A5036296128,Perrine Simon,I186903577,University of Luxembourg,1,2019,2019,{KritV}
A5036325270,Hannah Amann,I25974101,University of Würzburg,1,2017,2017,{JURA}
A5036449104,Bedri Bahtiri,I78768387,University of Prishtina,1,2017,2017,{ZStW}
A5036451646,Martin Kment,I170658231,Osnabrück University,2,2011,2011,"{JURA,JURA}"
A5036455292,Sebastian Cobler,I114090438,Goethe University Frankfurt,1,1984,1984,{KJ}
