"abk","pubyear","item_id","item_id_cited","citing_pubyear","ref_pubyear","ref_is_also_in_goldstandard","ref_is_also_german_law"
AcP,1999,W1485357046,,,,,
AcP,1999,W1514075975,,,,,
AcP,1999,W96108972,,,,,
AcP,1999,W133757068,,,,,
AcP,1999,W1561770384,,,,,
AcP,1999,W3145207650,,,,,
AcP,1999,W1541653563,,,,,
AcP,1999,W1545112849,,,,,
AcP,1999,W440988187,,,,,
AcP,1999,W3142931332,,,,,
AcP,2000,W1550382645,,,,,
AcP,2000,W460436002,,,,,
AcP,2000,W1543338071,,,,,
AcP,2000,W1541793189,,,,,
AcP,2000,W1563681852,,,,,
AcP,2000,W103668631,,,,,
AcP,2000,W29825219,,,,,
AcP,2000,W100976610,,,,,
AcP,2000,W10177989,,,,,
AcP,2000,W1588703160,,,,,
AcP,2000,W1582444297,,,,,
AcP,2000,W1579149376,,,,,
AcP,2000,W1600049662,,,,,
AcP,2000,W91778809,,,,,
AcP,2000,W1042849862,,,,,
AcP,2000,W130250697,,,,,
AcP,2000,W1596550892,,,,,
AcP,2000,W1490314786,,,,,
AcP,2000,W1489598834,,,,,
AcP,2000,W177051523,,,,,
AcP,2000,W2013222403,,,,,
AcP,2000,W3092646918,,,,,
AcP,2001,W2060959485,,,,,
AcP,2001,W136029425,,,,,
AcP,2001,W187274042,,,,,
AcP,2001,W178681632,,,,,
AcP,2001,W1507168021,,,,,
AcP,2001,W1495866218,,,,,
AcP,2001,W148723718,,,,,
AcP,2001,W195916724,,,,,
AcP,2001,W1551029475,,,,,
AcP,2001,W1561899955,,,,,
AcP,2001,W1558336211,,,,,
AcP,2001,W52738321,,,,,
AcP,2001,W1521849648,,,,,
AcP,2001,W68171422,,,,,
AcP,2001,W1602261337,,,,,
AcP,2001,W1600824329,,,,,
AcP,2001,W1034522191,,,,,
AcP,2001,W126756240,,,,,
AcP,2001,W204458087,,,,,
AcP,2001,W2050874644,,,,,
AcP,2001,W1606572332,,,,,
AcP,2001,W1575724293,,,,,
AcP,2002,W42932872,,,,,
AcP,2002,W6909597,,,,,
AcP,2002,W119313014,,,,,
AcP,2002,W34358460,,,,,
AcP,2002,W2109913351,,,,,
AcP,2002,W1010896342,,,,,
AcP,2002,W1581285602,,,,,
AcP,2002,W1579950284,,,,,
AcP,2002,W1579170625,,,,,
AcP,2002,W2005671844,,,,,
AcP,2002,W1506578742,,,,,
AcP,2002,W141981868,,,,,
AcP,2002,W1498671433,,,,,
AcP,2002,W1482575621,,,,,
AcP,2002,W136665418,,,,,
AcP,2002,W1536286478,,,,,
AcP,2002,W1525027908,,,,,
AcP,2002,W1546802972,,,,,
AcP,2002,W1533429402,,,,,
AcP,2002,W1553766920,,,,,
AcP,2002,W1524109227,,,,,
AcP,2002,W1515475092,,,,,
AcP,2002,W1554459420,,,,,
AcP,2002,W1554221528,,,,,
AcP,2002,W155206699,,,,,
