"abk","citing_pubyear","count"
DVBI,2024,22
JR,1992,78
ZaoRV,2018,2
ZRG,1918,2
ZStW,2007,97
CR,2020,102
DVBI,2012,8
AVR,2004,11
StV,2022,27
Verw,1957,1
DVBI,2000,2
KJ,1977,34
ZStW,2020,302
EuR,2014,97
ZZP,2011,5
NStZ,2000,1
KJ,1998,70
AöR,2002,17
ZRP,2012,4
ZZP,2020,12
ZGR,2008,103
ZGR,2000,27
JR,2006,121
NStZ,2020,14
ZRG,1923,2
ZRG,1924,2
ZRG,1995,90
VerwArch,2007,1
KJ,2018,159
ZRG,1967,19
JR,2005,107
KritV,2017,19
ZStW,1921,1
ZStW,1963,1
JuS,2001,1
StV,2014,6
JZ,2011,165
VerwArch,2012,1
MDR,2006,1
JR,1939,44
RdA,2010,1
JR,2022,147
ZRG,2004,693
KJ,1999,78
ZZP,2009,7
ZGR,1986,7
CR,2019,110
NZG,2020,6
ZRG,1987,144
ZRP,2003,1
ZRG,2022,475
ZRG,2023,345
ZGR,1992,17
VerwArch,1985,1
KritV,2004,19
JR,1945,5
AcP,2014,45
Verw,2013,23
StV,2007,1
ZGR,1987,13
AöR,2015,71
ZStW,1936,2
NZG,2021,4
ZGR,1989,8
MDR,2019,20
DVBI,2008,3
ZStW,1926,12
EuR,2013,70
RabelsZ,2011,50
ZRP,2020,37
ZRG,1914,3
KJ,1986,39
EuR,2016,72
ZRP,2016,17
AcP,1988,2
JR,2023,227
JURA,2006,1
CR,2022,158
AVR,2003,6
CR,2018,122
JR,1944,6
ZRG,1965,17
MDR,2010,5
JZ,2021,350
AVR,2016,49
KJ,2015,85
AG,2020,43
ZRG,1935,19
ZRG,2001,1136
Staat,2017,87
JZ,1999,2
AcP,2022,135
KJ,1982,47
JR,1987,95
AöR,2003,10
RabelsZ,1931,1
ZRG,1953,8
JuS,2017,2
ZStW,1939,9
KritV,2003,16
NZG,2009,2
DVBI,2017,37
MDR,2008,6
ZGR,2024,33
VerwArch,2019,4
KJ,2005,92
Staat,1986,1
NZG,2023,2
Staat,2015,69
ZStW,1928,15
ZRG,1949,59
AcP,1984,2
ZStW,1992,20
GmbHR,2012,3
NZG,2015,4
ZRG,1886,1
Staat,2011,48
JZ,1970,1
AVR,2024,45
ZRG,1981,23
JURA,2008,3
ZRG,1990,616
JZ,2022,280
AöR,2022,73
JR,1969,54
AG,2004,3
JR,2021,155
ZGR,1985,5
AVR,2012,34
ZStW,2019,181
GmbHR,2014,5
ZRG,1999,127
GmbHR,2009,6
JR,2018,132
ZStW,1980,3
NZG,2016,3
ZStW,1966,14
ZRG,1975,50
ZStW,1917,2
ZRP,2024,2
NZG,2013,11
KJ,1991,48
ZRG,1957,6
ZStW,1997,51
Verw,2009,4
ZRG,1902,1
VerwArch,2020,7
ZStW,1985,23
BB,2009,11
ZRG,1921,3
ZRG,1912,1
ZStW,1965,4
JR,1913,1
ZRG,1876,1
CR,2010,19
ZRP,2023,6
ZFA,2013,1
VerwArch,1977,2
ZStW,1998,53
ZGR,2012,67
ZFA,2024,1
GmbHR,2010,8
Staat,2001,4
ZRG,1907,2
BB,1996,2
KritV,2020,28
KJ,1931,1
ZaoRV,2024,30
MDR,2016,5
KJ,1989,50
ZGR,1991,17
ZRG,2008,756
MDR,2015,11
KJ,1978,29
GmbHR,2018,8
KJ,2013,98
JR,1958,58
GmbHR,2020,9
KJ,1994,47
AcP,2010,24
AöR,2012,52
ZRG,2024,114
ZGR,1978,1
NStZ,2014,20
AcP,1990,3
JZ,1967,1
KJ,1992,44
