"journal_name","doi","openalex_id","pubyear","pubyear_openalex","author_cnt","author_cnt_openalex","publisher","publisher_openalex","inst_count_openalex","citations_count"
KJ,"10.5771/0023-4834-1992-1-112",W4243419767,1992,1992,0,0,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
KJ,"10.5771/0023-4834-1968-1-11",W3014096949,1968,1968,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,3
Staat,"10.3790/staa.59.2.155",W4245743915,2020,2020,1,1,Duncker & Humblot GmbH,Duncker & Humblot,0,0
JZ,"10.1628/002268807782505604",W1966365318,2007,2007,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
RabelsZ,"10.1628/rabelsz-2020-0015",W3000691559,2020,2020,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-1972-2-125",W4252080100,1972,1972,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,2
JZ,"10.1628/002268809789531237",W2027896304,2009,2009,2,2,Mohr Siebeck,Mohr Siebeck Verlag,0,17
KritV,"10.5771/2193-7869-2017-4-292",W4232405553,2018,2017,0,0,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
KJ,"10.5771/0023-4834-2021-2-123",W4253936133,2021,2021,0,0,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
JZ,"10.1628/002268815X14240936347744",W2953826107,2015,2015,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/rabelsz-2019-0093",W4288957549,2019,2019,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-2003-3-317",W2314244716,2003,2003,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
JZ,"10.1628/002268809787153716",W4253403438,2009,2009,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,1
JZ,"10.1628/jz-2020-0363",W4248455412,2021,2021,1,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/rabelsz-2022-0085",W4312586479,2022,2022,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2022-0022",W4206483416,2022,2022,2,2,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/rabelsz-2020-0082",W3126733243,2020,2020,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/rabelsz-2023-0059",W4385253634,2023,2024,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268811794357584",W2029879301,2011,2011,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AöR,"10.1628/000389113X13757087795835",W2023479482,2013,2013,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
KJ,"10.5771/0023-4834-1987-4-394",W4235034894,1987,1987,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,2
Staat,"10.3790/staa.51.2.233",W2024187535,2012,2012,1,1,Duncker & Humblot GmbH,Duncker & Humblot,0,2
JZ,"10.1628/jz-2023-0216",W4384786635,2023,2023,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268810791871460",W2070309264,2010,2010,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2010-0062",W4244058594,2010,2010,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KritV,"10.5771/2193-7869-2012-4-349",W2327837516,2013,2012,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
JZ,"10.1628/jz-2023-0196",W4383268778,2023,2023,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268811796011945",W1970513891,2011,2011,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268813X13770075274782",W4244644932,2013,2013,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AcP,"10.1628/000389905783132318",W2046410448,2005,2005,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,2
JZ,"10.1628/002268814X13861536018034",W4237124274,2014,2014,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2021-0071",W4231823192,2021,2021,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268810791871352",W2035724622,2010,2010,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268814X13869293648576",W1974219087,2014,2014,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
JZ,"10.1628/002268815X14473417942165",W2917759601,2015,2015,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2022-0090",,2022,,0,0,Mohr Siebeck,,0,0
Staat,"10.3790/staa.48.1.127",W4249701504,2009,2009,0,0,Duncker & Humblot GmbH,Duncker & Humblot,0,0
Staat,"10.3790/staa.53.4.665",W4254298171,2014,2014,0,0,Duncker & Humblot GmbH,Duncker & Humblot,0,0
KJ,"10.5771/0023-4834-1991-2-243",W4255269876,1991,1991,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,2
KJ,"10.5771/0023-4834-1981-2-234",W4248338237,1981,1981,0,0,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
JZ,"10.1628/jz-2018-0242",W4246044911,2018,2018,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
KJ,"10.5771/0023-4834-1991-4-444",W4253314263,1991,1991,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,2
JZ,"10.1628/002268813X13752588105906",W4245448999,2013,2013,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2023-0249",W4386696273,2023,2023,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/rabelsz-2019-0088",W2981767101,2019,2019,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AöR,"10.1628/000389108783917060",W2046780618,2008,2008,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
JZ,"10.1628/jz-2010-0063",W4244398848,2010,2010,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-1987-4-379",W4247061304,1987,1987,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,2
JZ,"10.1628/jz-2019-0006",W4247943925,2019,2019,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268807779946564",W4236239815,2007,2007,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2022-0180",W4285252607,2022,2022,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268809788262147",W1966000374,2009,2009,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2010-0017",W72141813,2010,2010,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,4
JZ,"10.1628/002268817X15060767356370",W2789904017,2018,2018,1,0,Mohr Siebeck,Mohr Siebeck Verlag,0,1
KritV,"10.5771/2193-7869-2007-1-2-6",W2316944006,2007,2007,2,2,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
JZ,"10.1628/002268810790925236",W1995925052,2010,2010,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-1989-3-307",W3160708455,1989,1989,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,3
JZ,"10.1628/jz-2011-0031",W4230110872,2011,2011,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,7
Staat,"10.3790/staa.56.1.77",W2604400237,2017,2017,1,1,Duncker & Humblot GmbH,Duncker & Humblot,0,2
KritV,"10.5771/2193-7869-2011-2-194",W2315765273,2011,2011,2,2,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,1,2
RabelsZ,"10.1628/rabelsz-2021-0010",W3154308813,2021,2021,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268814X14189022670432",W2316594114,2015,2015,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/0033725042970828",W4243956629,2004,2004,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-2021-1-47",W3133534146,2021,2021,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
AcP,"10.1628/000389916X14630520754557",W2481878707,2016,2016,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2021-0027",W4235951539,2021,2021,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268812800785553",W1986519405,2012,2012,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/0033725024104261",W4238943931,2002,2002,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
