journal,abbreviation,issn
Immobilien- & Baurecht,IBR,
Immobilien- und Baurecht,ibr,
Vienna journal on international constitutional law,ICL-Journal,
International review of intellectual property and competition law,IIC,
International insolvency law review,IILR,
Zeitschrift zum Immobilien-Steuerrecht,ImmoStR,
Immobilien- und Mietrecht,imr,
Info / Schleswig-Holsteinischer Richterverband,info,
Zeitschrift für Insolvenzverwaltung und Sanierungsberatung,InsVZ,
Zeitschrift für Innovations- und Technikrecht,InTeR,
Informationsdienst Öffentliches Dienstrecht,IÖD,
Ip competence,Ip competence,
IP-Rechtsberater,IPRB,
"InfrastrukturRecht : Energie, Verkehr, Abfall, Wasser",IR,
Zeitschrift für internationale Rechnungslegung,IRZ,
Internationale Steuer-Rundschau. Zeitschrift für internationales Steuerrecht,ISR,
IWB - Internationales Steuer- und Wirtschaftsrecht,IWB,
NWB - Internationales Steuer- und Wirtschaftsrecht,IWB,
JahrbuchSchweizerische Gesellschaft für Haftpflicht und Versicherungsrecht,Jahrbuch SGHVR,
Jahresheft / Internationale Juristenvereinigung Osnabrück,Jahresheft IJVO,
Jahrbuch Extremismus & Demokratie,Jb Extremismus&Demokratie,0938-0256
Jahrbuch für direkte Demokratie,Jb. f. direkte Demokratie,
Jahrbuch des Arbeitsrechts,JbArbR,
Jahrbuch des Föderalismus,JbFöderalismus,
Jahrbuch für Italienisches Recht,JbItalienR,
Juristische Blätter,JBl,0022-6912
Jahrbuch für öffentliche Finanzen,JböffFin,
Jahrbuch Öffentliche Sicherheit,JBÖS,
Jahrbuch des Sozialrechts,JbSR,
Jahrbuch des Umwelt- und Technikrechts,JbUTR,
Journal of European integration history,JEIH,0947-9511
"Journal of intellectual property, information technology and electronic commerce law",JIPITEC,
Journal of Institutional and Theoretical Economics,JITE,0932-4569
Jahrbuch der Juristischen Zeitgeschichte,JJZG,1869-6899
Juris: die Monatszeitschrift,jM,
Journal der juristischen Zeitgeschichte,JoJZG,1863-9984
Jahrbuch des öffentlichen Rechts der Gegenwart,JöR,0075-2517
Das juristische Büro,"JurBüro, JB",0931-6000
JurPC - Internet-Zeitschrift für Rechtsinformatik und Informationsrecht,JurPC,
Juristenzeitung,JZ,
Kommunikation & Recht,K&R,1434-6354
Mitteilungen. Rechtsanwaltskammer Köln,KammerForum,
KammerMitteilungen : Informationen und offizielle Verlautbarungen der Rechtsanwaltskammer Düsseld,KammerMitteilungen,
Kfz-Anwalt : die Fachzeitschrift für alle Rechtsfragen im Automobilgewerbe,Kfz-Anwalt,
Kommunal-Kassenzeitschrift,KKZ,
KommunalPraxis spezial,KommP spezial,
KommunalPraxis Wahlen,KommP Wahlen,
Der Konzern,"Konzern, DK",
Zeitschrift für kapitalmarktorientierte Rechnungslegung,KoR,
