"alternativeTitle","id","issn","otherTitleInformation","shortTitle","title"
,"http://lobid.org/resources/990056442810206441#!","18641261",,,"Jahrbuch des Agrarrechts"
"NJWE; NJWE-VHR; NJW-Entscheidungsdienst / Versicherungs-, Haftungsrecht; NJW-Entscheidungsdienst Versicherungs- und Haftungsrecht; NJW-Entscheidungsdienst Versicherungs-, Haftungsrecht","http://lobid.org/resources/990056587470206441#!","09497099",,,"Neue juristische Wochenschrift, NJW-Entscheidungsdienst : NJWE / hrsg. von der NJW-Redaktion. Versicherungs- und Haftungsrecht : NJWE-VHR ; neue Entscheidungen aus den Bereichen Versicherungsvertragsrecht, einzelne Versicherungssparten, Unfallfolgenrecht, Haftung der Beratungsberufe, Haftung der Heilberufe, sonstiges Haftungsrecht"
,"http://lobid.org/resources/990166536620206441#!","07206100","vom ...",,"Bekanntmachung der Verordnung über die Berufsausbildung zum Personaldienstleistungskaufmann, zur Personaldienstleistungskauffrau nebst Rahmenlehrplan"
,"http://lobid.org/resources/990227085570206441#!","26689499","revistă editată de Institutul Român pentru Drepturile Omului = Human rights = Droits de l'homme",,"Drepturile omului"
"ABl. TMBJS","http://lobid.org/resources/990206571040206441#!","09404902",,,"Amtsblatt des Thüringer Ministeriums für Bildung, Jugend und Sport"
"Schlagwortregister Steuerrecht","http://lobid.org/resources/990054292370206441#!","04876253",,,"Schlagwortregister zur Rechtsprechung und Literatur des gesamten Steuerrechts, [Mehrjahresausgabe]"
"Entscheidungen des Schweizerischen Bundesgerichts ( 1. Zusatz anfangs ); Entscheidungen des Schweizerischen Bundesgerichts und des Eidgenössischen Versicherungsgerichts ( 1. Zusatz bis 97.2008 ); Entscheidungen des Europäischen Gerichtshofes für Menschenrechte ( 2. Zusatz bis 97.2008 ); Übersetzungen, unveröffentlichte Entscheide, Kommentare zu Leitentscheiden ( 3. Zusatz bis 97.2008 ); Die Praxis des Bundesgerichts ( Hauptsacht. bis 79.1990 u. Index 81/85.1992/96 )","http://lobid.org/resources/990054471060206441#!","02549441 10178147","Bundesgericht, EGMR ; Übersetzungen, unveröffentlichte Entscheide, Kommentare zu Leitentscheiden",,"Die Praxis"
,"http://lobid.org/resources/990054549280206441#!","00821934",,,"Taschenbuch für Kriminalisten"
"Bildung und Kultur; Veröffentlichungen der Kultusministerkonferenz / Dokumentationsdienst Bildung und Kultur / Sonderheft / Schulrechtliche Entscheidungen","http://lobid.org/resources/990054143410206441#!","09312773",,,"Dokumentationsdienst Bildung und Kultur, Sonderheft. Schulrechtliche Entscheidungen : Zsstellung aus d. Heften ... d. Dokumentationsdienstes Bildung und Kultur"
"ZKM; Konfliktmanagement, Mediation, Verhandeln; Mediation, Verhandeln, Vertragsgestaltung ( Zusatz anfangs )","http://lobid.org/resources/990101329440206441#!","14392127","Verhandeln, Mediation, Streitbeilegung ; ZKM",,"Zeitschrift für Konfliktmanagement"
,"http://lobid.org/resources/990054351940206441#!","01381385",,,"Bibliographie / Hochschule für Recht und Verwaltung, Informationszentrum, Teil 1, Rechtswissenschaft"
,"http://lobid.org/resources/990054463100206441#!","09366202 09366202",,,"Zeitschrift für Rechtspflege in Bayern"
"L & C ( Angabe d. Unterreihe anfangs )","http://lobid.org/resources/990125040130206441#!","1725406X 17254175",,,"Amtsblatt der Europäischen Union, Reihen L, C: Rechtsvorschriften, Mitteilungen und Bekanntmachungen. Sammlung"
"Rechtsvergleichung, Rechtsvereinheitlichung, IPR-Aufsatzdokumentation; Aufsatzdokumentation zur Privatrechtsvergleichung, Privatrechtsvereinheitlichung sowie zum internationalen Privatrecht und ausländischen Privatrecht ( Hauptsacht. bis 1976 ); Bibliography of articles on comparative private law, unification of private law, and on private international law and foreign private law ( Parallelsacht. bis 1976 )","http://lobid.org/resources/990054001930206441#!","01709259","eine Bibliographie des Jahres ... = Bibliography of articles on comparative private law, unification of private law, and on private international law",,"Aufsatzdokumentation zur Privatrechtsvergleichung, Privatrechtsvereinheitlichung und zum internationalen Privatrecht"
,"http://lobid.org/resources/990054283880206441#!","09336486 09336486",,,"Jahrbuch des Umwelt- und Technikrechts"
"WE","http://lobid.org/resources/990134296590206441#!","1861020X 1861020X","WE",,"Wohnungseigentum, Mietrecht"
"WBL","http://lobid.org/resources/990108717500206441#!","18643434 18643434","WBL ; Zeitschrift für österreichisches und europäisches Wirtschaftsrecht",,"Wirtschaftsrechtliche Blätter"
,"http://lobid.org/resources/990103154880206441#!","14230801",,,"Motionen und Postulate der gesetzgebenden Räte im Jahre ..."
"Vergabe; Textausgabe","http://lobid.org/resources/990218338830206441#!","25130463 25130463","Textsammlung : GWB 4.-6. Teil, VgV, VOB Teile A und B, UVgO, VOL Teile A und B, SektVO, VSVgV, KonzVgV, VergStatVO",,"Vergaberecht"
"Beck-StD; Steuer-Direkt-DVD; DStR ( Hauptsacht. 2012,1-2u.4 ); Beck-SteuerDirekt ( 1. Zusatz 2012,1-2u.4 )","http://lobid.org/resources/990143741170206441#!","14312921 14312921","Beck StD ; die Datenbank zur DStR",,"Beck-Steuer-Direkt-DVD"
"SAR","http://lobid.org/resources/990124657740206441#!","16186265","aktueller Rechtsprechungs- und Informationsdienst ; SAR",,"Sozialhilfe- und Asylbewerberleistungsrecht"
,"http://lobid.org/resources/990056374450206441#!","09344764","Stand ...",,"Finanzplanung / Landschaftsverband Rheinland"
"Gesetzblatt der DDR","http://lobid.org/resources/990054460980206441#!","01381644",,"Gesetzbl. DDR, Teil 1","Gesetzblatt der Deutschen Demokratischen Republik, Teil 1"
"Landeshaushaltsrechnung für Baden-Württemberg ( Hauptsacht. bis 1958 )","http://lobid.org/resources/990054915940206441#!","05219914 05219914","für das Rechnungsjahr ...",,"Landeshaushaltsrechnung von Baden-Württemberg"
