title,issn,alternativeTitle
Gewerblicher Rechtsschutz und Urheberrecht,16189574,GRUR CD; GRUR-CD-ROM; GRUR; Zeitschrift der Deutschen Vereinigung für Gewerblichen Rechtsschutz und Urheberrecht ; elektronische Informationen zum gewerblichen Rechtsschutz und Urheberrecht ( Zusatz der CD-ROM anfangs )
Bundesbericht Forschung und Innovation,"21904650,21904650",Daten und Fakten zum deutschen Forschungs- und Innovationssystem; Organisationen und Einrichtungen in Forschung und Wissenschaft; Forschungs- und Innovationspolitik der Länder
"Muldental-Zeitung, Neue Nachrichten für Grimma",08637776,Neue Nachrichten für Grimma
Deutsches Autorecht,"00121231,00121231,0341129X",DAR-Service-Beilage; DAR
"VdK-Zeitung, Ausgabe Nordbaden / Sozialverband VdK Baden-Württemberg",09432531,
Der Immobilien-Berater,09345639,
"Jahrbuch / Bitburger Gespräche. Gesellschaft für Rechtspolitik, Trier",01743627,"Verein zur Förderung der Deutschen und Europäischen Rechtsentwicklung, Trier ( Urh. 1972/73 )"
Der Bausachverständige,"16146123,16146123","Zeitschrift für Bauschäden, Grundstückswert und gutachterliche Tätigkeit"
Bayerischer Staatsanzeiger,03413985,
Jahrbuch des Kreises Prüm,04481429,Jahrbuch Kreis Prüm ( Nebent. bis 11.1970 ); Prümer Jahrbuch ( Nebent. 12.1971 )
Archiv des öffentlichen Rechts,"18686796,18686796",
