title,issn,alternativeTitle
Körperschaftsteuer-Handausgabe,01786687,Körperschaftsteuer Handausgabe
Untersuchungen zur Ordnungstheorie und Ordnungspolitik,"1434338X,1434338X",UOrd
Journal für Gesetzkunde und Rechtsgelehrsamkeit,16118898,
ExperSite,23645644,
Verwaltung heute,09351248,"Verwaltung ( Hauptsacht. 36.1988,1-5 )"
The journal of state government,10432248,
Rinderzucht Berlin-Brandenburg,"14359014,14359014",RZ
Arbeiten zur Rechts- und Sprachwissenschaft,16118588,
BDVR-Rundschreiben,"25117599,25117599",Rundschreiben
Bibliothek für positive Rechtswissenschaft und Diplomatik,"21929572,21929572",
"Polizeispiegel, Bayern","07232209,07232209",Kurier für die Polizei des Landes Bayern; Kurier für die Polizei des Freistaats Bayern; Fachorgan der Deutschen Polizeigewerkschaft im Deutschen Beamtenbund
Forum Europarecht,14224283,
Straßenwärter,"18668739,18668739",
Asyl,14228181,schweizerische Zeitschrift für Asylrechtspraktiker
Schriften des Betriebs-Berater,04876881,Schriften des Betriebs-Beraters ( Hauptsacht. anfangs )
Rechtsprechung spezial Praxis des Erbrechts,09462953,EPrax
Beyträge zu neuen Erfahrungen der Rechts- und Gesetzkunde oder Jahrgänge der Rechtspflege bey den Holsteinischen Obergerichten,"23671416,23671416","Rechtspflege bey den Holsteinischen Obergerichten; Beiträge zu neuen Erfahrungen der Rechts- und Gesetzeskunde, oder Jahrgang der Rechtspflege bei dem Holsteinischen Obergericht; Beiträge bei neuen Erfahrungen der Rechts- und Gesetzeskunde, oder Jahrgang der Rechtspflege bei dem Holsteinischen Obergericht; Beiträge zu neuen Erfahrungen der Rechts- und Gesetzeskunde, oder Jahrgang der Rechtspflege bei dem Holsteinischen Obergericht ( Zitiert. nach Kirchner )"
Rheinpfälzisch-patriotische Miscellen in zwanglosen Heften,"25098489,25098489",
"Die Fundstelle, Niedersachsen",07211376,Ausgabe Niedersachsen ( Sachl. Benennung bis 26.1973 ); Fundstellennachweis und Erläuterungen aller wichtigen Vorschriften für die Gemeindeverwaltung in Niedersachsen ( Zusatz bis 24.1971 )
Diplomatisch-practische Beyträge zu dem deutschen Lehnrecht und zu der westphälischen Fehmgerichts-Verfaßung,"21926409,21926409",Diplomatisch-praktische Beiträge zum deutschen Lehnrecht
Ex libris,"0014391X,0014391X","Exlibris; aktueller studentischer Buchdienst ( Zusatz anfangs ); aus Rechts-, Wirtschafts- und Sozialwissenschaften ( 1. Zusatz früher ); aktueller Bücherdienst für Studenten ( 2. Zusatz früher )"
Berichte / Fachhochschule des Bundes für Öffentliche Verwaltung,09462988,
"Praxis aktuell, Das Unternehmermagazin der AOK Bremen/Bremerhaven","14379171,14379171","Praxis aktuell <Essen> / Unternehmer-Magazin der AOK Bremen/Bremerhaven; PA; Unternehmer-Magazin der AOK Bremen/Bremerhaven ( Sachl. Benennung bis 2009,3 )"
Tijdschrift voor rechtsgeschiedenis,15718190,Tijdschrift voor rechtsgeschiedenis; The legal history review ( Haupttitel früher )
Bibliothek für die peinliche Rechtswissenschaft und Gesetzkunde,"2365130X,2365130X",
Neues Archiv des Criminalrechts,"23652721,23652721",Neues Archiv des Kriminalrechts
Litterarische Annalen der Rechtswissenschaften,"23671378,23671378",Annalen der Rechtswissenschaft; Literarische Annalen der Rechtswissenschaft; Literarische Annalen der Rechtswissenschaft ( Zitiert. nach Kirchner )
Magazin für die Geschichte der Menschenrechte,"23664339,23664339",
Staats- und Adreß-Handbuch des hochlöbl. schwäbischen Kreises,"27501132,27501132",Schwäbisches Staats- und Adreß-Handbuch
Die Einkommensteuer-Richtlinien ...,"04247019,04247019",
Beiträge zu Kriminologie und Strafrecht,"16109538,16109538",
OLG-Report Köln,09402160,Report
Global security,"21930821,21930821",GS
Zeitschrift für Gesetzgebung und Rechtspflege in Preußen,"1866167X,1866167X",
Schriften zum deutschen und europäischen Arbeitsrecht,"1865634X,1865634X",
"Wistra, Wistra-Kartei","01767283,01767283","Zeitschrift für Wirtschaft, Steuer, Strafrecht; Wistra-Kartei; Rechtsprechung zum Wirtschafts- und Steuerstrafrecht"
Zeitschrift für Gesetzgebung und Praxis auf dem Gebiete des deutschen öffentlichen Rechtes,"18661572,18661572",
Jahrbücher der deutschen Rechtswissenschaft und Gesetzgebung,09316396,
Kritische Zeitschrift für Rechtswissenschaft und Gesetzgebung des Auslandes,"18660908,18660908",
Der IT-Rechtsberater,"16171802,16171802","ITRB; Der IT-Rechts-Berater; Informationsdienst für die EDV-, Multimedia- und TK-rechtliche Beratungspraxis"
Hallische Beyträge zu der juristischen Gelehrten-Historie,"25096257,25096257",Hallische Beiträge zu der juristischen gelehrten Historie ( Hauptsacht. teils )
Johann Jacob Mosers vermischte Berichte von Religions-Sachen,"25099175,25099175",Mosers vermischte Berichte von Religions-Sachen; Vermischte Berichte von Religions-Sachen
Beyträge zu der juristischen Litteratur in den preußischen Staaten,"25103350,25103350",Beiträge zu der juristischen Litteratur in Preussen ( Hauptsacht teils ); Beyträge zur juristischen Litteratur in den preussischen Staaten ( Zitiert. lt. Kirchner )
Blickpunkt Rind,"18613969,18613969",
Nebenstunden von teutschen Staatssachen,"23666447,23666447",
Neueste juristische Literatur,"25100149,25100149",Neueste juristische Litteratur ( Hauptsacht. teils )
"Samlung merkwürdiger Rechtshändel samt ihren Zweifels- und Entscheidungsgründen, wie auch verschiedener Rechts- und anderer Materien","23654635,23654635","Sammlung merkwürdiger Rechtshändel, samt ihren Zweifels- und Entscheidungsgründen; Sammlung merkwürdiger Rechtshändel, samt ihren Zweifels- und Entscheidungsgründen ( Zitiert. nach Kirchner )"
"Nachrichten und unvorgreifliche Gedanken von den hamburgischen Gerichten, Gesetzen und Anwälden","23671270,23671270",
Sächsisches Archiv für bürgerliches Recht und Prozeß,"18662072,18662072",
"Magazin der Gesetzgebung, besonders in den königl. preußischen Staaten","25103334,25103334",
Altfriesische Rechtsquellen,05691427,
Deutsch-georgische Strafrechtszeitschrift,"25665758,25665758",DGStZ
Münstersche Schriften zur Kooperation,16176561,
Schriften des BDÜ,"14382164,14382164",Schriften des Bundesverbandes der Dolmetscher und Übersetzer e.V. (BDÜ) ( Hauptsacht. anfangs )
DVR Report,"09409025,09409025",DVR-Report ( Haupttitel früher )
Zeitschrift für die deutsche Gesetzgebung und für einheitliches deutsches Recht,"18661661,18661661",
Arbeitgeber intern,"25093568,25093568",
Sammlung der neuesten und wichtigsten Deductionen in teutschen Staats- und Rechts-Sachen,"27495264,27495264",
Deductions-Bibliothek von Teutschland nebst dazugehörigen Nachrichten,27012131,Deduktions-Bibliothek von Deutschland nebst dazugehörigen Nachrichten
"Thesaurus iuris Franconici, oder Sammlung theils gedruckter, theils ungedruckter Abhandlungen, Dissertationen ..., welche das fränkische und besonders hochfürstlich-wirzburgische geistliche, weltliche, bürgerliche, peinliche, Lehen-, Polizey- und Kameralrecht erläutern, Abschnitt 2","26998343,26998343","Sammlung theils gedruckter, theils ungedruckter Abhandlungen, Dissertationen ..., welche das fränkische und besonders hochfürstlich-wirzburgische geistliche, weltliche,  bürgerliche, peinliche, Lehen-, Polizey- und Kameralrecht erläutern"
"Thesaurus iuris Franconici, oder Sammlung theils gedruckter, theils ungedruckter Abhandlungen, Dissertationen ..., welche das fränkische und besonders hochfürstlich-wirzburgische geistliche, weltliche, bürgerliche, peinliche, Lehen-, Polizey- und Kameralrecht erläutern, Abschnitt 1","26998068,26998068","Sammlung theils gedruckter, theils ungedruckter Abhandlungen, Dissertationen ..., welche das fränkische und besonders hochfürstlich-wirzburgische geistliche, weltliche,  bürgerliche, peinliche, Lehen-, Polizey- und Kameralrecht erläutern"
IPA working paper,23650362,Institut für Prozess- und Anwaltsrecht working paper
Paten,01762982,
Juridisches Magazin,"18661025,18661025","Juridisches Magazin, insbesondere für die Großherzoglich Badischen Lande"
Rechtssicher pflegen aktuell,"1864693X,1864693X",
Hilfsmittel zum Ostrecht,04391411,
Frankfurter öffentlich-rechtliche Studien,"01716697,01716697",
Law and legislation in the German Democratic Republic,04588460,
Beyträge zum teutschen Rechte,"21929823,21929823",Beiträge zum deutschen Recht; Beyträge zum teutschen Recht ( Hauptsacht. 1.1786 u. 4.1789 )
Staatswissenschaftliche und juristische Litteratur,"25098446,25098446",
Teutsche Stats-Literatur,"23671424,23671424",
Polizei heute,01761242,
"Praxis aktuell, Unternehmer-Magazin der AOK im Saarland","09356746,09356746",
"Monumenta Germaniae historica, 7: Leges : Rechtstexte. Fontes iuris Germanici antiqui",05449871,
Studien zum deutschen und internationalen Familien- und Erbrecht,"1864497X,1864497X",
Schadenpraxis,"10191151,10191151",SP; Schadenspraxis ( Hauptsacht. teils )
Schriftenreihe der SRH-Hochschule Heidelberg,"18669034,18669034",
Zeitschrift für wissenschaftliche Bearbeitung des preußischen Rechtes,"18661637,18661637","Materialien des allgemeinen Landrechts zu den Lehren vom Gewahrsam und Besitz, und von der Verjährung"
Archiv des Criminalrechts,"2366584X,23665823,2366584X,23665823",Archiv des Kriminalrechts
Mannheimer Anzeiger,"27474682,27474682",
Magazin für die Gerechtsame des Adels und der Rittergüter in Deutschland,"23652845,23652845",
Sächsisches Archiv für deutsches bürgerliches Recht,"18662137,18662137",
Die Steuer-Quellen,09331123,
Das Steuer-Forum für die steuer- und wirtschaftsberatenden Berufe,09331115,
"Der Betrieb, Arbeitsrecht","25679945,25679945",
Zeitschrift für das gesamte Handelsrecht und Wirtschaftsrecht,00442437,ZHR; Zeitschrift für Handelsrecht und Wirtschaftsrecht
"Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Germanistische Abteilung",23044861,Zeitschrift der Savigny-Stiftung für Rechtsgeschichte / Germanistische Abteilung
Archiv für die Rechtspflege und Gesetzgebung im Großherzogthum Baden,"2192743X,2192743X",Archiv für Rechtspflege und Gesetzgebung im Grossherzogthum Baden ( Hauptsacht. teils )
TVöD kompakt,"18632319,18632319",Kompakt TVöD
"Ausgewählte Entscheidungen des Obersten Rückerstattungsgerichts, Zweiter Senat (Herford, Westf.)",04709233,Auswahl der erlassenen Entscheidungen; Selection of decisions
"Amtsblatt / Bayerisches Staatsministerium für Ernährung, Landwirtschaft und Forsten",04086953,"LMBl; Amtsblatt des Bayerischen Staatsministeriums für Ernährung, Landwirtschaft und Forsten ( Hauptsacht. bis 19.1975 )"
Soziale Krankenversicherung,07218028,SKV
Juristisch-mathematisches Magazin,"23664398,23664398",
Juristisches Journal,"23671319,23671319",
Neueste landschaftliche Bibliothek für Baiern,"25102443,25102443",
Magazin für die Philosophie des Rechts und der Gesetzgebung,"21926468,21926468",
Archiv des preußischen Rechts,"23668210,23668210",
Blätter zur Kunde des Preussischen Staates und seiner Verfassung,"25098535,25098535",
Archiv für das Notariat,"23665777,23665777",
Juristische Schriftenreihe,23078545,
Magazin für deutsche gerichtliche und Polizeibeamte,"23665904,23665904","Magazin für deutsche gerichtliche und Polizeibeamte, welche sich mit der französischen peinlichen Gesetzgebung und dem Gerichtsgang in peinlichen Sachen bekannt zu machen wünschen ( Auf d. Bd.-Titelbl. )"
Aspekte,03401995,Zeitschrift für Berufsberatung; Zeitschrift für Studienanfänger ( Zusatz anfangs )
Schriftenreihe der Deutschen Vereinigung für Jugendgerichte und Jugendgerichtshilfen,09423516,Schriftenreihe der Vereinigung für Jugendgerichte und Jugendgerichtshilfen ( Hauptsacht. 5.1926; 7.1926 - 11.1927 ); Schriftenreihe der DVJJ ( Hauptsacht. teils )
Magazin für das Civil- und Criminal-Recht des Königreichs Westphalen,"18660916,18660916","Magazin der französischen und westfälischen Jurisprudenz ( Hauptsacht. 5.1813,1 )"
Archiv für die Gesetzgebung und Reforme des juristischen Studiums,"21929564,21929564",Archiv für die Gesetzgebung und Reform des juristischen Studiums
Jahrbücher der Gesetzgebung und Rechtspflege im Königreich Württemberg,"21935599,21935599",
Criminalistische Beyträge,"23653639,23653639",Kriminalistische Beiträge; Criminalistische Beiträge; Criminalistische Beiträge ( Zitiert. nach Kirchner )
"Der Steuerzahler, [Ausgabe Rheinland-Pfalz]","01706888,01706888",Monatszeitschrift des Bundes der Steuerzahler
"Niederrheinisches Archiv für Gesetzgebung, Rechtswissenschaft und Rechtspflege","23653574,23653574",
Allgemeine juristische Monatsschrift für die preussischen Staaten,09357351,
Magazin gemeinnütziger Beobachtungen und interessanter Rechtsfälle in Koncurssachen,"23668393,23668393",
Abhandlungen civilistischen und criminalistischen Inhalts,16117050,"Abhandlungen zivilistischen und kriminalistischen Inhalts; Zeitschrift für Zivil- und Kriminalrecht, in gleichmässiger Rücksicht auf Geschichte und Anwendung des Rechts, auf Wissenschaft und Gesetzgebung; Zeitschrift für Civil- und Criminalrecht, in gleichmässiger Rücksicht auf Geschichte und Anwendung des Rechts, auf Wissenschaft und Gesetzgebung"
Ersatzkassen-Report,"01702793,01702793",
Archiv für katholisches Kirchenrecht,2589045X,
Beyträge zur Kenntniß des vaterländischen Rechts,"18660142,18660142",
Magazin für die Philosophie und Geschichte des Rechts und der Gesetzgebung,"18661823,18661823",Grolmans Magazin
Kritische Zeitschrift für Staatsregierung und Gesetzgebung,"18661475,18661475",
Magazin für Rechtswissenschaft und Gesetzgebung,"18661831,18661831",Neues Magazin für Rechtswissenschaft und Gesetzgebung ( Nebent. 3.1810/20 - 4.1820/44 )
Schriftenreihe der Forschungsstelle für Finanzdienstleistungsrecht der Philipps-Universität Marburg,"1619439X,1619439X",
Richter ohne Robe,"2190345X,2190345X","Zeitschrift des Bundesverbandes Ehrenamtlicher Richterinnen und Richter, Deutsche Vereinigung der Schöffinnen und Schöffen (DVS); Zeitschrift der Deutschen Vereinigung der Schöffinnen und Schöffen ( Zusatz anfangs ); RohR ( Nebent. teils )"
"Seminarbericht / Deutsche Vernetzungsstelle LEADER +, (BLE) Bundesanstalt für Landwirtschaft und Ernährung",14398419,
Nassauer Gespräche der Freiherr-vom-Stein-Gesellschaft,01766023,
Forschungen zum römischen Recht,"27484025,27484025",
Arbeiten aus dem Iuristischen Seminar der Universität Freiburg Schweiz,14203588,"Arbeiten aus dem Juristischen Seminar der Universität Freiburg; Arbeiten aus dem Juristischen Seminar der Universität Freiburg Schweiz; Arbeiten aus dem Iuristischen Seminar der Universität Freiburg ( Hauptsacht. anfangs ); Travaux de la Faculté de Droit de l'Université de Fribourg, Suisse ( Hauptsacht. teils ); Arbeiten aus dem Iuristischen Seminar der Universität Freiburg Schweiz ( Nebent. teils ); AISUF ( Zusatz anfangs )"
Hamburger Rechtsstudien,00729590,HAR
Schriftenreihe des Forschungsinstitutes für Wirtschaftsverfassung und Wettbewerb e.V. Köln,"04299485,04299485",FIW-Schriftenreihe ( Hauptsacht. anfangs )
Justament,"16154800,16154800",Die Karriere-Zeitschrift für Juristen; das Berliner Magazin für Rechtsreferendare ( Zusatz anfangs ); die Referendarzeitschrift ( Zusatz teils )
Praxishandbuch betriebliche Altersversorgung,"25108212,16124081",Haufe-Praxishandbuch betriebliche Altersversorgung ( Hauptsachtitel früher )
Quellen und Studien zur Verfassungsgeschichte des Deutschen Reiches in Mittelalter und Neuzeit,08630836,
Zeitschrift für Zivilprozess,"23662077,23662077",ZZP
Zeitschrift für die Criminal-Rechts-Pflege in den preussischen Staaten mit Ausschluß der Rheinprovinzen,"23651393,23651393",Zeitschrift für die Kriminal-Rechts-Pflege in den preussischen Staaten mit Ausschluß der Rheinprovinzen; Hitzig's Zeitschrift für die Criminal-Rechtspflege in den Preußischen Staaten; ZfdCrRPf
Archiv für landständische Angelegenheiten im Großherzogthum Baden,"23653590,23653590",
Rechtserforschungen für Juristen und Nicht-Juristen,"23651415,23651415",
Der Waffenträger der Gesetze,"21926530,21926530",
Jahrbücher des Großherzoglich Badischen Oberhofgerichts,"21926557,21926557",Jahrbücher des Großherzoglich Badischen Oberhofgerichts zu Mannheim ( Hauptsacht. 1.1823 - 7.1831/32 )
"Studien zum öffentlichen Recht, Völker- und Europarecht",14372037,
Juristische Bibliothek,"21929688,21929688",
Archiv für das Handelsrecht,"23665394,23665394",Archiv für das hamburgische Handelsrecht
"Zeitschrift für Gesetzgebung, Rechtswissenschaft und Rechtspflege in dem Großherzogthum Sachsen-Weimar-Eisenach","23652705,23652705","Zeitschrift für Gesetzgebung, Rechtswissenschaft und Rechtspflege in dem Großherzogthume Sachsen-Weimar-Eisenach ( Hauptsacht. teils )"
Sui generis,"25696629,25696629",
Geringfügige Beschäftigung,16117018,
Jahrbücher der Gesetzgebung und der Rechtswissenschaft des Großherzogthums Baden,"25098551,25098551",
Neues Magazin gemeinnüziger Beobachtungen und interessanter Rechtsfälle in Concurssachen,"23669349,23669349",Neues Magazin gemeinnütziger Beobachtungen und interessanter Rechtsfälle in Concurssachen ( Zitiert. nach Kirchner )
Magazin des königlich-baierischen Staats- und Privatrechts,"23652780,23652780",
Der Deutsche Bund,"25099019,25099019",
Polizeikalender,01713272,
Kirchen- und Staatskirchenrecht,"2629804X,2629804X",KStKR
Finanz- und Steuerrecht in Deutschland und Europa,"1863141X,1863141X",
Quellen zur Rechtsvergleichung aus dem Osteuropa-Institut an der Freien Universität Berlin,"25092634,25092634",Quellen zur Rechtsvergleichung aus dem Institut für Internationales und Ausländisches Recht und Rechtsvergleichung ( Hauptsacht. 1.1968 ); Sources of comparative law from the Easteuropean Institute of the Free University Berlin ( Parallelsacht. teils )
Teilzeitarbeit und geringfügige Beschäftigung bis ... DM,09484655,
Berliner kriminologische Studien,16171764,Kriminologische Studien
Rechtsfragen in Wettbewerb und Werbung,07222521,RWW
"Beiträge zur Gesetzgebung und praktischen Jurisprudenz, mit besonderer Rücksicht auf Bayern","21929491,21929491","Beiträge zur Gesetzgebung und practischen Jurisprudenz, mit besonderer Rücksicht auf Bayern ( Hauptsacht. bis 2.1828 )"
Zeitschrift für eine künftig aufzustellende Rechtswissenschaft nach dem Prinzip eines transzendentalen Realismus,"25103180,25103180",Zeitschrift für Rechtswissenschaft
Magazin des Criminalrechts,"23664290,23664290",Magazin für das Criminalrecht ( Titelvar. )
Hof und Staat,"25103229,25103229",
Juristisches Magazin,"2366536X,2366536X",
Zeitschrift für österreichische Rechtsgelehrsamkeit und politische Gesetzkunde,"22238751,22238751",
"Neue Annalen der Gesetzgebung, Rechtsgelehrsamkeit und Rechtspflege, in den Kurhessischen Staaten","23668377,23668377","Neue Annalen der Gesetzgebung, Rechtsgelehrsamkeit und Rechtspflege in den kurfürstlichen hessischen Landen ( Zitiert. lt. Kirchner )"
Annalen der Gesetzgebung Napoleons,"25103202,25103202",
Annalen der deutschen und ausländischen Criminal-Rechtspflege,"23668334,23668334",
Jahrbücher für Diplomatik und deutsches Staatsrecht,"21929467,21929467",
Juristisches Magazin besonders für die Herzoglich Braunschweigischen Lande,"25103245,25103245",
Zeitschrift für Geschichte und Gesetzgebung Württembergs,"23669365,23669365",
Magie der Forensik,"27511588,27511588",
Deutsche Zeitschrift für Kirchenrecht,"26276208,26276208",
"Annalen der Gesetzgebung, Rechtsgelehrsamkeit und Rechtspflege in den kurhessischen Landen","23671556,23671556","Annalen der Gesetzgebung, Rechtsgelehrsamkeit und Rechtspflege in den kurfürstlichen hessischen Landen ( Zitiert. lt. Kirchner )"
Juristische Miscellen besonders das preußische Recht betreffend,"23652748,23652748",
"Zeitschrift für Gesetzgebung, Rechtswissenschaft und Rechtspflege im Königreiche Hannover, so wie in den Herzogthümern Lauenburg und Holstein","23653612,23653612",
Beyträge zur juristischen Praxis auf Academien,"25099035,25099035",
Zeitschrift für die Civil- und Criminal-Rechtspflege im Königreich Hannover,"21926379,21926379",Zeitschrift für die Civil- und Criminal-Rechtspflege im Königreiche Hannover; Zeitschrift für Civil- und Criminal-Rechtspflege im Königreich Hannover; Zeitschrift für die Civil- und Criminal-Rechtspflege im Königreiche Hannover ( Hauptsacht. teils )
Schriftenreihe / Juristische Studiengesellschaft Karlsruhe,"04471806,04471806",
Der Rechtsbeistand,07235577,Rbeistand
Schriftenreihe zum gewerblichen Rechtsschutz,03447839,"Schriftenreihe zum gewerblichen Rechtsschutz des Max-Planck-Instituts für Innovation und Wettbewerb; Schriftenreihe zum gewerblichen Rechtsschutz des Max-Planck-Instituts für Ausländisches und Internationales Patent-, Urheber- und Wettbewerbsrecht ( Nebent. teils ); GWR ( Nebent. teils )"
Recht in Afrika,"23636270,23636270",Law in Africa; Droit en Afrique
Leitfaden zum Versicherungs- und Beitragsrecht,0940788X,
Archiv für öffentliches Recht,00038911,
ICC publication,1015258X,Publication / ICC publication; Publikation; ICC-Publikation ( Hauptsacht. u. Parallelsacht. teils ); Publication CCI ( Hauptsacht. u. Parallelsacht. teils ); ICC publications ( Hauptsacht. u. Parallelsacht. teils )
Zeitschrift für deutsches Recht und deutsche Rechtswissenschaft,"18660096,18660096",Zeitschrift für das deutsche Recht ( Nebent. teils )
Rheinisches Archiv für Zivil- und Strafrecht,"1866038X,1866038X",Rheinisches Archiv; Archiv für Zivil- und Strafrecht der Königl.-Preuß. Rheinprovinz ( Auf d. Jg.-Titelbl. ); Rheinisches Archiv für Zivil- und Strafrecht der Königl.-Preuß. Rheinprovinz ( Hauptsacht. bis 5=107.1911 ); Rheinisches Archiv für das Zivil- und Strafrecht der Königlich-Preußischen Rheinprovinzen ( Nebent. anfangs ); Archiv für das Zivil- und Strafrecht ( Nebent. später )
Kommunalwirtschaftliche Forschung und Praxis,"14358468,14358468",
Schriftenreihe der Polizei-Führungsakademie,07206283,
Des hochlöbl. schwäbischen Kreises vollständiges Staats- und Addreß-Buch,"25108360,25108360",Des hochlöbl. schwäb. Crayses vollständiges Staats- und Addresse-Handbuch ( Hauptsacht. 1766 ); Des hochlöbl. schwäbischen Crayses vollständiges Staats- und Addreß-Buch ( Hauptsacht. 1771 - 1777[?] )
Pflege & Urteil praktisch,"1613141X,1613141X",Pflege und Urteil praktisch
Beiträge zur neueren Privatrechtsgeschichte,01755692,BNP
"Informationsreihe Rentenversicherung, Sammelband ..",01736949,Informationsreihe Rentenversicherung / Sammelband
Der Lebensmittelkontrolleur,"18649343,18649343",LMK
Juristisches Wochenblatt,"21927340,21927340",
Schriftenreihe zum deutschen und europäischen Gesellschafts- und Wirtschaftsrecht,1614239X,
Juristische Bibliothek,"2367122X,2367122X",
Gesellschafts- und Kapitalmarktrecht,16617673,GesKR; Schweizerische Zeitschrift für Gesellschafts- und Kapitalmarktrecht sowie Umstrukturierungen
Steuer-Schutzbrief,16125363,
Dr. Siebenhaar's Archiv für deutsches Wechselrecht und Handelsrecht,"18661017,18661017",Siebenhaar's Archiv für deutsches Wechselrecht und Handelsrecht
Neues Archiv der preußischen Gesetzgebung und Rechtsgelehrsamkeit,"23668229,23668229",
Aktuelle juristische Praxis,16603362,AJP; PJA
Arzt- und Medizinrecht kompakt,"21908044,21908044",AMK
Informationsreihe Rentenversicherung,01736930,
"Schwacke, Schadenpraxis : Fachzeitschrift für spezielles Schadenrecht im Verkehrs- und Kfz-Bereich mit Beispielgutachten",10191151,SchwackeSchadenpraxis; monatliche Fachzeitschrift für spezielles Schadenrecht im Verkehrs- und Kfz-Bereich mit Beispielgutachten ( Zusatz anfangs )
Journal für Medizin- und Gesundheitsrecht,24156868,
Annalen der Gesetzgebung und der Rechtswissenschaft in den Ländern des Königs von Sachsen,"18660150,18660150",Annalen der Gesetzgebung und der Rechtswissenschaft in den Ländern des Churfürsten von Sachsen ( Hauptsacht.1.1806 )
"Der Steuerzahler, [Ausgabe Nordrhein-Westfalen]","07246277,07246277",Der Steuerzahler <Wiesbaden> / Ausgabe Nordrhein-Westfalen; Mitgliederzeitschrift des Bundes der Steuerzahler
Hessische Polizeirundschau,"03433757,03433757","HPR; Polizei; Polizei-Rundschau ( Hauptsacht. 1973,Sept. ); Hessische Polizei-Rundschau ( Haupttitel teils )"
Das geltende Seekriegsrecht in Einzeldarstellungen,04351924,
Amtliche Mitteilungen des Bundesausgleichsamtes,"09400338,09400338",
Umwandlung,16118774,"Deutsche Umwandlungs-Richtlinien ( Haupttitel 2003-2005, Nr. 2 )"
Bielefelder Rechtsstudien,09370641,"Schriftenreihe für Gesetzgebungswissenschaft, Rechtstatsachenforschung und Kriminalpolitik ( Zusatz anfangs )"
Mannheimer Anzeiger,"27474690,27474690",Heidelberger historische Bestände - digital / Mannheimer Anzeiger
Kritische Blätter civilistischen Inhalts,"18661343,18661343",
Beihilfevorschriften,09485341,
Archiv für deutsches Wechselrecht,"18660991,18660991",
Archiv für deutsches Wechselrecht und Handelsrecht,"18661009,18661009",
"Jahrbücher für die bayerische Gesetzgebung, Rechtswissenschaft und Staatsverwaltung","18660223,18660223",
Schriftenreihe zur Glücksspielforschung,1861759X,
"Medien, Internet und Recht","18619754,18619754",MIR
Heidelberger Musterverträge,04389107,
"Corpus constitutionum Oldenburgicarum selectarum, oder: Verordnungen, in denen beyden Grafschaften Oldenburg und Delmenhorst wie auch denenselben incorporirten Landen, als Stadt- und Butjadinger Würder und Stedinger Lande ... publiciret, zusamt einigen Rescriptis und Resolutis",27010929,"Supplementum corporis constitutionum Oldenburgicarum, oder ... Fortsetzung der Verordnungen in den beyden Grafschaften Oldenburg und Delmenhorst, wie auch denenselben incorporirten Stadt- und Butjadinger Wührder und Stedinger Landen nebst einigen Rescriptis und Resolutis ( Hauptsacht. teils )"
"Die Mitarbeitervertretung, Sonderheft","14364417,14364417",ZMV / Sonderheft
Ausschreibungen in Sachsen,"25703102,25703102",
In Sachen Lebensmittel,"09358129,09358129",Jahrestagung; Ansprachen und Vorträge anläßlich der Mitgliederversammlung ... in Bonn-Bad Godesberg
"Corpus constitutionum Oldenburgicarum selectarum, oder: Verordnungen, in denen beyden Grafschaften Oldenburg und Delmenhorst wie auch denenselben incorporirten Landen, als Stadt- und Butjadinger Würder und Stedinger Lande ... publiciret, zusamt einigen Rescriptis und Resolutis",27010937,"Supplementum corporis constitutionum Oldenburgicarum, oder ... Fortsetzung der Verordnungen in den beyden Grafschaften Oldenburg und Delmenhorst, wie auch denenselben incorporirten Stadt- und Butjadinger Wührder und Stedinger Landen nebst einigen Rescriptis und Resolutis ( Haupttitel teils )"
Der neue deutsche Geldanlagebrief,"18690033,18690033",Ihr wöchentlicher Kurz-Check für mehr Vermögen ( Zusatz anfangs )
"Geringfügige Beschäftigung, [Kreis Soest und Hochsauerlandkreis] / Hrsg.: Die Gleichstellungsbeauftragten des Kreises Soest ..",14301326,
Neues Polizeiarchiv,"00283681,00283681",NPA; höhere Gerichtsentscheidungen für die Polizei ( 2. Zusatz bis 1979 )
"Nachrichten für Städte, Gemeinden, Samtgemeinden",03413551,"NStV-N ( Nebent. bis 12.1984,10 ); NST-N ( Nebent. ab 12.1984,11 )"
Beiträge zur Strafvollzugswissenschaft,"00675237,00675237",
Zeitschrift für deutschen Zivilprozess,"18660118,16104404,18660118,16104404",Zeitschrift für deutschen Zivilprozess und das Verfahren in Angelegenheiten der freiwilligen Gerichtsbarkeit ( Hauptsacht. 25.1899 - 48.1920 ); Zeitschrift für deutschen Civilprozess und das Verfahren in Angelegenheiten der freiwilligen Gerichtsbarkeit ( Hauptsacht. teils ); Busch's Zeitschrift ( Nebent. 25.1899 - 48.1920 )
"Schriftenreihe des Bundesministeriums für Ernährung, Landwirtschaft und Verbraucherschutz, Reihe A: Angewandte Wissenschaft","18677142,18677142",
"VdK-Zeitung, Rheinland-Pfalz","09432728,09432728",VdK-Zeitung / Ausgabe Rheinland-Pfalz; VdK Zeitung ( Hauptsacht. teils ); Ausgabe Rheinland-Pfalz ( Sachl. Benennung früher )
Juristisches Magazin für die deutschen Reichsstädte,"23665912,23665912",
Beiträge zum Zivilrecht und Zivilprozeß,04051904,
