issn,Gold,Wikipedia,Internet,ZDB,abbr
09433147,,,547,,ZOV
18648304,,,188,,GreifRecht
16137647,,,,857,
0003231X,,,,178,
23654651,,,,1024,
00057215,,,,12,
2366522X,,,,1290,
14354470,,,,939,
23668393,,,,1425,
09375341,,,,693,
00266884,,,284,752,MittDtPatA
01791508,,,,1644,
01761242,,,,1386,
27007316,,,,831,
14361612,,,,836,
21927480,,,,1180,
09479856,,,443,,VM
18652719,,,214,,JbArbR
09483209,,,370,887,RPG
18652026,,,,458,
16118774,,,,1519,
00821934,,,,29,
18687784,,,256,,KSI
21903212,,,,535,
09487182,,,,1578,
25096214,,,,1023,
16117727,,,,832,
1865830X,,,,599,
25129627,,,,914,
21927413,,,,1098,
03003329,,,,777,
09409025,,,,1369,
18653820,,,,933,
09432531,,,,667,
01720716,,,,230,
07218451,,,,1623,
23653868,,,,1000,
03420809,,,,625,
16121864,,,535,,ZJJ
16184157,,,279,354,MK
03422259,,,92,633,Landkreis
23666757,,,369,,RuP
27474690,,,,1521,
21926522,,,,1181,
0343656X,,,,1140,
1616170X,,,,973,
09338519,,,,1231,
18661475,,,,1431,
18655203,41,,98,,"STAAT, Staat, DS"
07242247,,85,354,729,R&P
18690033,,,,1535,
09469966,,,,530,
01791990,37,43,61,,CR
09431799,,,,1010,
2364284X,,,152,,EDPL
03411095,,,,796,
18630626,,,,1237,
09453253,,,,717,
0342300X,,,459,,WSI Mitt.
21958971,,,111,123,DStZ
18661556,,,,1266,
18658202,,,,675,
10191151,,,391,1512,SP
00298921,,,328,,Öbl
09382755,,,,1288,
13851306,,,33,,ARIEL
09432760,,,,1071,
1864015X,,,,1306,
01728245,,,,319,
21923035,,,,1150,
16146123,,,79,670,Bausachverständige
29423570,,,596,,ZDRW
18653030,,,205,,JLL
23650079,,,,469,
21927162,,,0,,AUR
18695361,,,431,,VIA
29423163,,,469,,djbZ
2748615X,,,,252,
21930821,,,,1347,
23044934,26,,,754,
03407918,9,30,43,779,BB
00152218,,,161,,FA
18620930,,,,1138,
18691676,,,340,,PPRQ
1612703X,35,,509,827,"ZStW, ZStrW"
09430008,,,,1009,
00442585,,,,588,
0939401X,,,405,550,S+P
21958882,,,326,,OzSR
09416927,,,,1648,
25125109,,,,1259,
07214847,,,,1241,
0080018X,,,,657,
01742108,,119,201,700,"InfAuslR, IAR"
01794051,,133,526,,ZG
14395355,,,450,69,Vollstr
00407585,,,,516,
0522456X,,,36,,BJM
16188349,,,84,,FamRB
01726617,,,343,359,PharmR
18687938,,,516,,ZESAR
09348964,,,,488,
0340692X,,,,371,
09482369,,,,618,
19955855,,,447,,ICL-Journal
29424240,,,604,,ZgS
05146496,39,25,557,,ZRP
17252539,,,,13,
0721880X,33,11,322,,NVwZ-Extra
07246951,,,,92,
01748262,,,,283,
00226882,8,12,236,273,JZ
1613026X,,,,349,
16189876,,,,718,
03447839,,,,1488,
1860319X,,,,977,
27474461,,,470,,"ZARG, ZAR"
1611440X,,,,113,
21917345,,,451,,WzS
01710796,,,,834,
27003299,,,,1004,
18649769,,,166,,FMP
26998068,,,,1375,
03411966,,72,255,401,KrimJ
16183401,,,,1013,
0948017X,,,,1163,
16628705,,,399,,SZW
01774573,,,,484,
01701452,24,,238,473,JURA
0933551X,,,,10,
18688098,,,382,,RW
18686796,25,,16,902,AöR
23635614,,,23,901,ARSP
25686380,,,605,,ZInsO
23063734,,,447,,ICL-Journal
16169743,,,,727,
09412344,,,,1588,
14378337,,,,186,
21917442,,,151,,ECLR
00120774,,,,2,
16131282,,74,78,,AR
00306444,,89,339,291,OER
02323125,,,,1595,
18660916,,,,1418,
16111958,,,516,,ZESAR
09484655,,,,1464,
25099019,,,,1459,
23660945,,,,250,
07246617,,,113,,DWW
07206240,,,138,,et
00059935,19,48,80,1689,DB
01741225,,52,14,366,AiB
00442348,36,37,474,788,ZaöRV
09414363,,,,1603,
27502783,,,45,,BRuR
14344602,,,156,,FAR
14367246,,,,1646,
17257638,,,,924,
1614760X,,,388,885,RVGreport
02541467,,,,426,
2192743X,,,,1402,
29419727,,,,1251,
09371141,,,,731,
03438767,,,,563,
18658296,,,,830,
1865827X,,,,54,
18606431,,,,121,
21900361,,,,1570,
21994609,,,,1581,
25097725,,,,1171,
16116011,,,,1043,
1861020X,,,,34,
25099108,,,,1011,
04181263,,,,485,
18695639,,,88,,IPRB
26999919,,,,811,
22238751,,,,1472,
01786687,,,,1315,
25201832,,,,863,
00489069,,,390,297,SAE
23666935,,,,695,
14370344,,,594,411,WuB
21950261,,,355,995,RAW
18609872,,,,598,
0038884X,41,0,98,,"STAAT, Staat, DS"
25096192,,,,1111,
18634133,,,,128,
26251868,,138,496,,GVRZ
03423557,,,,641,
1437997X,,,,127,
14313928,,,,444,
00704423,,,,980,
23662018,,,157,406,FuR
18668585,,,514,,EWeRK
01794108,,,,304,
23654635,,,,1361,
00209368,,,209,,IWB
18601596,,,,47,
18658059,,,,61,
0170687X,,,,747,
18616631,,129,537,203,ZKJ
09380175,,,189,,GuG
16112962,,,142,,BVerfGE
09303065,,,40,498,BerlAnwBl
15608670,,,337,,öarr
0029893X,,,,547,
23652780,,,,1458,
22272410 (19191944),,,,499,
16130251,,,,879,
22260412,,,522,,"ZFE, EF-Z"
21922918,,,,1168,
16118782,,,,1643,
18638511,,,60,301,CuA
18661572,,,,1351,
23665262,,,,1077,
26276208,,,,1480,
01717227,,,8,508,ANA-ZAR
01739042,,,,280,
14203723,,,270,1153,ML
18694268,,,531,,InsVZ
07211279,,,254,1118,KrimPäd
18649343,,,,1501,
01770357,,,,541,
23634960,,,508,,ZfPW
14301326,,,,1536,
18607292,,,,1675,
07247699,,,,912,
21914699,,,,1260,
09346333,,,,652,
14330172,,,529,,ZfIR
21930732,,,,1133,
23645644,,,,1318,
23668210,,,,1411,
14353474,,,,235,
00037605,,,,261,
14393662,,,,475,
00169404,,,179,423,GewArch
18633889,,,256,,KSI
18636470,50,,606,,ZIS
03439550,,,,0,
25103288,,,,873,
00845310,35,21,509,476,"ZStW, ZStrW"
23665203,,,,919,
00023752,0,64,119,,AG
23671270,,,,1362,
00665703,,,,1002,
23665327,,,,1112,
00437166,,,,331,
03437388,,,,966,
09413006,,,,418,
2702329X,,,,561,
14381397,,,,998,
21990220,,,390,164,SAE
0178613X,,,,617,
1615990X,,,,1571,
09459715,,,,758,
18665020,,,,957,
03413500,,,,342,
1868288X,,,324,,NWB
09497676,17,,116,,DStR
14369265,,,268,,"MarkenR, markenr"
03407411,,,,803,
09314342,,,,11,
05067286,,,432,5,VRÜ
27501086,,,,1162,
23664339,,,,1342,
00164739,,,,183,
03418669,,,428,662,UR
26295032,,,,390,
18687113,40,,18,974,AcP
17274745,,,,1308,
03408590,,,,448,
23662077,42,,609,1444,ZZP
27010910,,,,1037,
04337077,,,,6,
04088492,,,,434,
00064416,,,51,,Blätter
14341891,,,,144,
09479872,,,599,,ZfBR
15718190,,,,1338,
21927375,,,,1192,
14307669,,,,979,
00299340,,,330,,NZ
01762982,,,,1377,
03420825,,,,199,
18660347,,,,1604,
1437983X,,,,947,
14324903,,,,416,
18667597,,,,145,
00039225,,104,20,1621,ArchKrim
27007731,,,,699,
21987130,,,,1573,
21966214,,,283,,APBB-Mitt.
2194539X,,,207,,ISR
23649666,,,434,,VD
04051033,,,,403,
04051904,,,,1544,
16197992,,,,967,
16111982,,,581,,ZWeR
25099078,,,,864,
02590379,,,,346,
2510893X,,,,719,
18660223,,,,1526,
05449871,,,,1388,
00047805,,,,520,
2366102X,,,76,1008,ArbRB
14365995,,,264,,L&L
01743627,,,,669,
01786695,,,,50,
00209503,,,,108,
14393182,,,512,735,ZErb
03409503,,,130,,StBp
23649658,,,439,,VKU
01740210,,,,544,
21923760,,,395,,SchulR heute
07216890,16,18,582,636,Wistra
23654597,,,,878,
00234699,,,253,468,Kriminalistik
26296845,,,,925,
18660800,,,,1228,
04533283,,,,542,
09458867,,,,1154,
0943173X,,,,825,
