"institution_id","raw_author_name","author_id","cleaned_author_name","cleaned_institution_name","min_pubyear","max_pubyear","publ_cnt","example_id"
,Hans Joachim Schneider,A5012600806,Hans Joachim Schneider,,2007,2012,2,W4241106427
,Thorsten Kingreen,A5012632384,Thorsten Kingreen,,2006,2023,13,W4386389490
,Hans Heinrich Rupp,A5012656082,Hans Heinrich Rupp,,2006,2006,1,W2047548070
,Nils Jansen,A5012669709,Nils Jansen,,2012,2022,4,W4312561956
,Gesa Franke,A5012670993,Gesa Franke,,2014,2014,1,W4240924121
,Kay H. Schumann,A5012715330,Kay H. Schumann,,2007,2007,1,W1998470990
,Thomas Kemper,A5012782091,Thomas Kirste,,2020,2023,3,W4368247745
,Tobias Voigt,A5012808338,Tobias Voigt,,2014,2014,1,W4246704686
,Dominik Schwab,A5012824525,Dominik Schwab,,2020,2020,1,W3048520035
,Karl Riesenhuber,A5012921215,Karl Riesenhuber,,2006,2011,2,W4236737559
,Robert Alexy,A5012924350,Robert Alexy,,2017,2017,1,W2748762055
,Philipp Georgy,A5012992907,Philipp Georgy,,2009,2009,1,W2063174019
,Ansgar Ohly,A5013012090,Ansgar Ohly,,2009,2019,3,W4255468481
,Bardo Fassbender,A5013160320,Bardo Fassbender,,2016,2016,1,W2317029312
,Wolfgang B. Schünemann,A5013183561,Wolfgang B. Schünemann,,2009,2010,2,W2048455528
,Dirk Olzen,A5013381912,Dirk Olzen,,2007,2013,3,W4236568622
,Jan C. Joerden,A5013450981,Jan C. Joerden,,2018,2018,1,W2791991158
,H. C. Friedrich-Christian Schroeder,A5013654630,Helena Carolina Schroeder,,2006,2006,1,W2085140215
,Erik Gawel,A5013746712,Erik Gawel,,2016,2016,1,W2547426216
,Jürgen Kohler,A5013779788,Jürgen Kohler,,2007,2018,4,W2918143725
,Joachim Lege,A5013851623,Joachim Lege,,2017,2018,2,W2801529509
,Peter Collin,A5013870015,Peter Collin,,2011,2011,1,W2095081155
,Paul Krell,A5013876652,Paul Krell,,2019,2019,1,W4240025943
,Thomas Trück,A5013893809,Thomas Trück,,2010,2013,2,W2024533541
,Tobias Fuchs,A5013911322,Tobias A. Fuchs,,2009,2009,1,W4238441449
,Gerald Mäsch,A5014021081,Gerald Mäsch,,2006,2021,6,W4250555205
,Nora Wienfort,A5014132199,Nora Wienfort,,2023,2023,1,W4362569868
,Clara Beise,A5014137325,Clara Beise,,2023,2023,1,W4320923806
,Rike Sinder,A5014156866,Rike Sinder,,2016,2017,2,W2766902895
,Johann Justus Vasel,A5014223648,Johann Justus Vasel,,2023,2023,1,W4368247762
,Dagmar Kaiser,A5014235096,Dagmar Kaiser,,2011,2016,2,W4250731866
,Wolf-Rüdiger Schenke,A5014238842,Wolf-Rüdiger Schenke,,2006,2015,6,W4241442493
,Stefan Huber,A5014288232,Stefan Huber,,2010,2010,1,W1981872442
,Rolf Stober,A5014342251,Rolf Stober,,2007,2007,1,W4236562697
,Detlef Leenen,A5014589140,Detlef Leenen,,2018,2018,1,W2791590855
,Charlotte Harms,A5014680232,Charlotte Harms,,2015,2015,1,W2764245337
,Christian Bickenbach,A5014713302,Christian Bickenbach,,2020,2020,1,W3006994433
,Hans Vest,A5014944302,Hans Vest,,2019,2019,1,W2917966842
,Shu-Perng Hwang,A5015041979,Shu-Perng Hwang,,2022,2022,1,W4312356202
,Rolf Wank,A5015052884,Rolf Wank,,2013,2013,1,W1976882218
,Barbara Grunewald,A5015166371,Barbara Grunewald,,2008,2015,2,W4206248352
,Till Zimmermann,A5015179001,Till Zimmermann,,2014,2015,2,W2916196515
,Jochen Taupitz,A5015207292,Jochen Taupitz,,2007,2007,1,W2015853254
,Peter Jung,A5015245862,Peter Jung,,2013,2013,1,W2082378994
,Sven Söllner,A5015281471,Sven Söllner,,2006,2006,1,W1989550182
,Dominic Merk,A5015296523,Dominic Merk,,2020,2020,1,W3107793105
,Timo Rademacher,A5015367209,Timo Rademacher,,2016,2019,2,W2958139780
