*nodes
Id;Label;Type
422;Mehrdad Payandeh;author
423;Henrike von Scheliha;author
424;Johanna Cormann;author
425;Anika Burkhardt;author
426;Gerson Trüg;author
427;Gerhard Walter;author
428;Kilian Wegner;author
429;Marco Wagner;author
430;Jule Martenson;author
431;Kai Purnhagen;author
432;Bernd Rüthers;author
433;Yvonne Wilms;author
434;Eckart Gottschalk;author
435;Johannes Stürner;author
436;Johanna Erler;author
437;Henning Tappe;author
438;Andreas Høyer;author
439;Christoph Thole;author
440;Michael Grünberger;author
441;Rüdiger Zuck;author
442;Jan Wilhelm;author
443;Mathias Hong;author
444;Hartmut Oetker;author
445;Cosima Möller;author
446;Ines Härtel;author
447;Wolfgang Weiß;author
448;Ann-Kristin Mayrhofer;author
449;Christian Gomille;author
450;C. A. Johnson;author
451;Stefan Huster;author
452;Günter Frankenberg;author
453;Ludwig Grämlich;author
454;Hans‐W. Micklitz;author
455;Ulrich Fastenrath;author
456;Benno Zabel;author
457;Sophie-Charlotte Lenski;author
458;Thomas Raiser;author
459;Ann-Marie Kaulbach;author
460;Felix M. Wilke;author
461;Georg Sandberger;author
462;Jens Kersten;author
463;Horst Eidenmüller;author
464;Hermann Plagemann;author
465;Otto Depenheuer;author
466;Rechtsanwalt Felix Busse;author
467;Giesela Rühl;author
468;Reinhard Richardi;author
469;Katharina von Koppenfels-Spies;author
470;Andreas Fischer-Lescano;author
471;Ulrich Noack;author
472;U. Becker;author
473;Klaus Adomeit;author
474;Dörte Poelzig;author
475;Jörg Habetha;author
476;Jens Prütting;author
477;James Bews;author
478;Christian Ernst;author
479;Hans Friedrich Zacher;author
480;Martin Heger;author
481;Sören Lichtenthäler;author
482;Wolfgang Graf Vitzthum;author
483;Paul Kirchhof;author
484;Robert Uerpmann-Wittzack;author
485;Manfred Maiwald;author
486;Heike Lesch;author
487;Ulrich Ehricke;author
488;Dinah Huerkamp;author
489;Klaus F. Röhl;author
490;Martín Morlok;author
491;Klaus Rogall;author
492;Andreas Glaser;author
493;Elmar Mand;author
494;Adam Sagan;author
495;Tobias Ponßen;author
496;Markus Winkler;author
497;Joachim Zekoll;author
498;Michael Fuchs;author
499;Hendrik van Laak;author
500;Philipp Reimer;author
501;Frank Bauer;author
502;Berit Völzmann;author
503;Gunnar Folke Schuppert;author
